,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10,DERL3,CCDC181,DRD5,FAM135B,ZNF132,BOLL,ADAMTS20,TAC1,HOXD9,NMBR,BRDT,BOLL,GRIN2B,HOXD9,PCDH17,ADAMTS20,HOXD9,ADAMTS18,FAM135B,NKAPL,VSX1,ZNF578,NKAPL,HOXD9,PNMAL1,ADAMTS20,HAS1,BARHL2,NMBR,FTMT,HAS1,VSX1,MEI1,ADAMTS20,MEI1,ZNF132,GRM6,HAS1,BRDT,ZNF578,EOMES,HOXD9,ZNF578,PCDHGC4,MDGA2,ZNF578,FSIP2,ABCC9,ZNF132,HOXD9,ADAMTS20,ZBED9,VSX1,BRDT,VSX1,EOMES,BRDT,SLC25A2,BOLL,NMBR,PNMAL1,GRM6,HOXD12,HAS1,HOXD9,GRM6,RGS22,BRDT,PCDH17,PCDHGA11,SFTA3,SPHKAP,C11orf85,FAM135B,NKX2-6,HOXD9,HOXD12,HOXD12,BOLL,HOXC6,UBBP4,BOLL,ZNF132,ADAMTS20,VSX1,NKX2-6,BOLL,HOXD9,CBLN4,FSIP2,GRM6,HOXD9,NMBR,SPHKAP,RGS22,ZNF578,HAS1,RGS22,HOXD9,ALX4
11,EOMES,PCDHGC4,RGS22,SLC25A2,POU4F2,BARHL2,CBLN4,NKAPL,RGS22,DRD5,HAS1,FAM135B,SFTA3,ZNF578,HOXD9,ZNF578,CBLN4,BOLL,PABPC5,ADAMTS20,NKAPL,ZNF835,BRDT,ABCC9,COX8C,PABPC5,ADAMTS20,HOXD12,BOLL,HOXD12,VSX1,BOLL,SCT,SIM1,RGS22,PABPC5,PCDHGC4,COX8C,FAM135B,ZNF132,HOXD9,C11orf85,NMBR,VSX1,FSIP2,VSX1,VSX1,SIM1,RGS22,ADAMTS20,PCDH17,C11orf85,ADAMTS20,TBX4,HOXD12,ADAMTS20,CHAT,ZNF132,TMEM132D,HOXD9,BOLL,VSX1,HOXD9,RGS22,CCDC181,HOXD12,ZNF132,PABPC5,NLRP4,CCDC181,BOLL,HAS1,ADAMTS20,TNNT3,PCDH17,FAM135B,C9orf84,NKAPL,VSX1,DRD5,SFTA3,HOXD12,HOXD12,HAS1,RGS22,PCDH17,HOXD12,GPR75,BOLL,BRDT,PCDHGC4,HAS1,OLIG3,VSX1,ZNF132,TAC1,BOLL,ZNF132,ZNF132,BOLL
12,SCT,RGS22,PABPC5,TMEM132D,ZNF578,GRM6,ZBED9,HAS1,PCDHGC4,HAS1,HOXD9,HOXD9,ABCC9,HOXD12,ZBED9,SPHKAP,ZBED9,HAS1,PAPOLB,PAPOLB,DIRAS3,RGS22,NKX2-6,ZNF578,CBLN4,NKX2-6,ZBED9,BOLL,HOXD9,ZNF132,NMBR,GRM6,HAS1,VSTM2A,NKAPL,GPR75,HAS1,HOXD9,ZNF578,HOXD9,NKAPL,NMBR,SIM1,MDGA2,HAS1,ZNF132,ADAMTS20,ZNF132,SPHKAP,ZNF578,HOXD9,ZNF578,COX8C,HAS1,BARHL2,BOLL,PCDHGC4,PABPC5,NKAPL,BRDT,ZNF132,BRDT,ADAMTS20,DRD5,HAS1,MDGA2,HOXD12,C11orf85,PAPOLB,ZNF132,SOX11,HOXD9,BOLL,GPR75,BOLL,GRM6,HAS1,PCDH17,NKAPL,RGS22,ADAMTS20,PCDHGC4,ZNF578,VSX1,HOXD12,SPHKAP,ZBED9,KBTBD12,VSX1,RGS22,HOXD9,BOLL,CHAT,PCDHGA11,NKAPL,POM121L12,HOXD9,GRM6,HAS1,BRDT
13,C9orf84,HAS1,PCDHGC4,HOXD9,PCDHGA11,PCDHGC4,HOXD9,HOXD12,SYCP1,RGN,EOMES,POU4F2,FTMT,POU4F2,CHAT,FSIP2,PCDHGC4,NMBR,ABCC9,RGS22,GRM6,PABPC5,FAM135B,VSX1,HOXD12,PNMAL1,BRDT,HAS1,FAM135B,PCDHGC4,PCDHGA11,ZNF132,NKAPL,ADCY8,SLC25A2,NMBR,DRD5,RGS22,HOXD9,PAPOLB,BRDT,GRM6,ZNF835,HOXD9,FOXB2,FAM135B,BOLL,NKAPL,HAS1,HOXD12,SPHKAP,PCDHGC4,NMBR,ZNF132,HOXD9,FSIP2,HOXD12,BOLL,VSX1,CBLN4,HOXD9,HOXD9,ZNF578,BRDT,PCDHGC4,C11orf85,HOXD9,FAM135B,ZNF578,ZBED9,CHAT,RGS22,SFTA3,DRD5,FOXR1,DERL3,KBTBD12,BOLL,ADAMTS20,FAM135B,PCDHGB6,RGS22,HAS1,ZNF132,GRM6,SLC25A2,ZNF578,VSX1,HOXD12,ZNF578,VSX1,PCDHGC4,FAM135B,FOXR1,HOXD9,ADAMTS18,VSX1,SCT,UBBP4,CHAT
14,BRDT,PABPC5,FTMT,PCDHGA11,PCDHGC4,MARCH11,MEI1,BOLL,DERL3,CETN1,MFSD7,SPHKAP,TAC1,ABCC9,ADAMTS20,BOLL,CHAT,SPHKAP,C9orf84,VSTM2A,NETO1,BOLL,GRM6,HOXD12,ZNF578,TMEM132D,ZNF835,SCT,PCDHGC4,FOXD2,EOMES,MEI1,ZNF578,ADAMTS18,PCDHGC4,RGS22,BARHL2,ABCC9,VSX1,BARHL2,BARHL2,BARHL2,HOXD12,PAPOLB,ZNF667,SFTA3,HOXD9,BOLL,SYCP1,PCDHGC4,BRDT,HOXD12,ABCC9,MEI1,DRD5,FAM135B,ADAMTS20,TMEM132D,VSTM2A,SFTA3,HOXD12,CCDC181,SYCP1,BOLL,HOXD12,BOLL,SCT,CHAT,KBTBD12,ADAMTS20,HOXD12,PABPC5,HOXD12,BRDT,VSX1,HOXD12,ABCC9,TMEM132D,MARCH11,BOLL,BOLL,BARHL2,ALX4,ZNF578,TMEM132D,BRDT,ADAMTS20,BCL3,NKAPL,HAS1,ADAMTS20,ZNF132,ZBED9,PCDHGC4,EOMES,SPHKAP,BRDT,EOMES,TAC1,PCDHGC4
15,FSIP2,ZNF132,ZNF132,TAC1,HAS1,HAS1,ZNF578,ZNF454,BOLL,MT1A,NMBR,MDGA2,POU4F2,VSX1,SIM1,BRDT,ADAMTS20,CCDC181,ZNF132,AVPR1A,BARHL2,ZBED9,CBLN4,PCDHGC4,VSX1,ZNF132,ZNF578,ZBED9,CHAT,CCDC181,MFSD7,ZBED9,KBTBD12,CHAT,SIM1,PCDHGC4,NKX2-6,DRD5,ADAMTS20,ADAMTS20,HOXA11,BRDT,NKAPL,GRM6,SOX11,CCDC181,C11orf85,ADAMTS20,BOLL,TMEM132D,MARCH11,HOXD9,RGS22,HOXD9,ZNF132,VSTM2A,FSIP2,PCDHGA11,GRM6,BOLL,FAM135B,PCDHGB4,ZNF454,KBTBD12,BRDT,SFTA3,GPR75,ZBED9,ZNF132,GRM6,VSX1,CBLN4,FOXD2,RGS22,ZNF578,BRDT,SIM1,HOXD9,SPHKAP,HAS1,FSIP2,CHAT,BRDT,BRDT,NLRP1,NPTX2,CHAT,SPHKAP,MDGA2,NKX2-6,FOXD2,ABCC9,PCDHGC4,SIM1,MEI1,RGS22,CETN1,HOXD12,PCDHGC4,MDGA2
16,BARHL2,DRD5,ALX4,ADAMTS20,RGS22,HOXD12,PRAME,SPHKAP,ZNF578,VSX1,ADAMTS18,ADAMTS20,HOXD9,ADAMTS20,VSTM2A,PAPOLB,BCL3,DRD5,CCDC181,HOXA11,ADAMTS20,HOXD12,SPHKAP,HAS1,HAS1,HOXD12,HOXD9,FAM135B,BRDT,ADAMTS20,FOXR1,PCDHGC4,FTMT,RGS22,HAS1,RGN,SPHKAP,HOXA11,SYCP1,VSX1,HOXD12,CCDC181,MDGA2,NKAPL,HOXD9,BOLL,KBTBD12,ZBED9,BARHL2,ZBED9,ZNF578,VSX1,SCT,ADAMTS20,UBBP4,ZNF578,HOXD9,SPHKAP,BARHL2,ADAMTS20,SIM1,TAC1,MEI1,ADAMTS20,DRD5,VSX1,ZNF835,HOXD9,FSIP2,VSX1,HAS1,FSIP2,VSX1,UBBP4,MARCH11,NLRP1,BARHL2,ZNF132,GRM6,ADAM33,ZNF132,BRDT,POM121L12,HOXA11,CBLN4,RGS22,NMBR,TBX5,TMEM132D,C9orf84,DERL3,ZIK1,TMEM132D,HOXA11,KBTBD12,SCT,ZBED9,MDGA2,CBLN4,FSIP2
17,PCDHGC4,BARHL2,VSX1,ZNF132,ADAMTS20,PABPC5,SCT,RGS22,SCT,FSIP2,ZNF132,MARCH11,RGN,GRIN2B,BARHL2,ZNF132,MEI1,SYCP1,BOLL,NKX1-1,AVPR1A,SPHKAP,PCDHGC4,PABPC5,RALYL,SOX17,PAPOLB,HOXD9,MT1A,PCDHGB4,FAM135B,HOXD9,BRDT,HOXA11,TAC1,HOXD9,KBTBD12,FTMT,NKX2-6,C11orf85,FSIP2,ADAMTS20,PCDH17,ABCC9,ZBED9,CHAT,ZNF132,HAS1,NLRP1,MDGA2,HOXD12,BRDT,CDO1,TAC1,CCDC181,UBBP4,DRD5,HOXD9,CBLN4,HAS1,ZNF578,FSIP2,SLC25A2,NMBR,RGS22,ZNF132,BRDT,MEI1,CHAT,HAS1,FSIP2,TMEM132D,HOXA11,ZNF132,RGS22,BOLL,SOX11,SIM1,ZBED9,PCDHGB6,NKX2-6,VSX1,CHAT,CHAT,ZNF454,HOXD12,SPHKAP,RGS22,HAS1,SPHKAP,PABPC5,ZNF578,SPHKAP,ADAMTS20,ADAMTS20,HAS1,SLC25A2,ZNF454,BOLL,NMBR
18,BOLL,HOXD9,TMEM132D,HAS1,SLC25A2,TMEM132D,BOLL,SLC25A2,C9orf84,ZBED9,BOLL,ABCC9,MAGEB1,FOXR1,ABCC9,PCDHGA11,ZNF132,CBLN4,UBBP4,POM121L12,ABCC9,TAC1,ABCC9,PCDHGB6,BARHL2,RGS22,MEI1,PCDHGC4,ADAM33,ZBED9,C9orf84,BARHL2,ZNF132,NKAPL,DRD5,SIM1,TMEM132D,NMBR,FOXB2,CHAT,RGS22,FOXD2,ABCC9,CCDC181,FAM135B,NLRP1,SYCP1,HOXD12,DERL3,VSX1,BARHL2,CDO1,ZNF132,ABCC9,ZBED9,SYCP1,FTMT,BRDT,PAPOLB,ZBED9,KBTBD12,ALX4,CHAT,PCDHGC4,FOXR1,HOXA11,SLC25A2,VSX1,HOXD9,MEI1,ABCC9,NFIX,BRDT,HOXD12,HBQ1,TMEM132D,TAC1,BARHL2,CHAT,HOXD9,FOXD2,ADAMTS20,VSX1,NMBR,NKX2-6,ZBED9,ABCC9,TAC1,GRM6,PCDHGA11,HOXD12,VSX1,GRIN2B,HOXD9,NPTX2,GPR75,PCDHGC4,NETO1,KBTBD12,HOXD12
19,HBQ1,HOXD12,HOXD9,DRD5,PABPC5,MDGA2,SLC25A2,TMEM132D,FSIP2,CCDC181,ZNF578,ALX4,ZBED9,PNMAL1,RGS22,ZNF667,DRD5,SFTA3,C11orf85,FOXB2,FOXB2,BRDT,ZBED9,SOX11,SIM1,ZNF578,C9orf84,ADAMTS20,ATP10A,HOXD9,VSTM2A,ZNF177,GRIN2B,HOXD9,KCNC2,ECEL1,MARCH11,POM121L12,NFIX,GRIN2B,SPHKAP,FSIP2,RGS22,MARCH11,ADAMTS18,HOXD9,MEI1,HOXD9,TAC1,MEI1,NMBR,HAS1,HAS1,BOLL,BRDT,DRD5,VSX1,ZNF578,NETO1,DERL3,SCT,ADAM33,SIM1,MEI1,EOMES,SPHKAP,HAS1,MDGA2,ZNF177,FTMT,MDGA2,HOXA11,MDGA2,BCL3,PCDHGC4,HOXA11,EOMES,ADAMTS20,KCNC2,NKAPL,MARCH11,TMEM132D,MEI1,SYCP1,BOLL,CBLN4,PCDHGC4,PCDHGC4,RGS22,BOLL,TAC1,ZNF835,NKX1-1,ABCC9,ZNF578,ADAM33,SCT,HAS1,CCDC181,ABCC9
