,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
523,SLC26A2,PAX9,YTHDF1,TJP3,PUS1,HRG,PARD3B,HEATR1,ATP5F1B,APP,NFIC,SNRNP200,SSBP2,AAK1,NCAPD2,CRYZL1,ZFYVE21,PARD3B,PARN,NUFIP2,PGLYRP2,BICDL2,DLAT,TJP3,MORC2,PNO1,CCDC86,F10,PUS1,TJP1,NUFIP2,TP53INP2,KYAT3,TAPBP,ARHGEF10L,TC2N,HSDL2,P4HA2,ASPG,KRT17,DIP2A,UTP6,KIAA0930,ZNF281,QDPR,LRP8,SNRNP70,FUS,HRG,CLIC2,AK3,PI16,ME3,GNB1,TAPBP,TTC22,TRMT1,SSSCA1,ETFDH,TOLLIP,ADGRG6,SELP,PDHB,TMOD1,ACAA1,NMT1,APOA4,VASN,NKRF,SNTB2,CYP2C18,SSBP2,SELENOP,RBM34,SPINK7,FOXK1,PPA2,APOH,MKI67,SUPT6H,DLAT,SPARCL1,LCAT,PCDH1,CTTNBP2,LIPE,PRRC2A,UGT1A7,RFC5,PARD3B,XPOT,ITGA7,HEATR1,EPS8L1,LAMB2,CAPN2,BOP1,THY1,SNCA,NEBL
524,NUP58,TBL3,ALDH1A2,ALDH3A1,LMNA,C2,HIBCH,MPC1,SSSCA1,ASCC1,GATD3B,SSBP2,CHN1,P4HA2,WDR18,TTC22,PSTPIP2,PLEKHG2,BLVRB,MPC1,KYAT3,TJP1,CAPN7,GRHPR,GTSE1,TAPBP,TBL3,CAPN1,USP39,TRMT6,KHDRBS1,ADPGK,PSTPIP2,IL23R,GZMB,REL,PIK3C2B,TMEM185B,BOP1,DNASE2,NUP155,PML,UQCRC1,RBM34,TAPBP,ACADS,NEFL,CIR1,SRSF3,GLOD4,RAD51B,ASCC3,MICAL1,PRPF3,AOC3,ATP6V1G2,TAP1,MAP6,APBA1,NUBPL,IFIH1,NAXD,FN3K,SMG8,CA13,CIR1,FHL5,TCP11L2,CEBPZ,LDHD,ECM1,RBM34,MEIS1,SERPINA4,UTP6,LIPE,RBMX,RBMX,NEBL,TACC3,GATD3B,VASN,RBM4,OXR1,NAXD,P4HA2,SNCA,NUP155,COX5B,TJP1,F2,CAPN2,PNO1,CSTA,REV3L,SCRN2,PCDH1,ZADH2,UTP6,MED8
525,ATP5F1A,GATD3B,RBM28,MICAL1,PSTPIP2,DBI,OXR1,CRYBG3,CPN1,OLFML3,EPS8,PARN,NUP155,ALDH7A1,CRYZ,BAZ1B,CEBPZ,MEIS1,FH,SPRR3,ERH,SF3A2,ENAH,HPGDS,ACTA2,RAD51B,APOA4,RASIP1,ACADS,APBA1,KIAA0930,HSDL2,NUP88,DNAJA1,MCEE,TPPP3,RBP4,KLK11,DIP2A,GNB2,NUP88,CENPE,HSDL2,LPCAT1,ASPN,RAB32,HPGDS,PLSCR1,HELZ2,APOH,WARS2,MPC1,MPC1,GGT6,CAPN2,SSBP2,ISY1-RAB43,TXN2,HGFAC,QDPR,SELENOP,XPOT,C1orf123,TACC3,PPP1R7,TCP11L2,ACKR1,GNB2,PALMD,TBC1D10B,CCL14,MARK3,PDCD4,SNCA,PARP14,TJP1,ME3,FUBP1,SELENOP,FAM50A,SOAT1,DIS3,SLC16A7,ATP5F1A,NUP88,CTHRC1,GATD3B,SENP5,PAIP2B,TRMT1,CRLF1,SP110,ALDH1L1,HLA-C,DNAJB11,ME3,ACKR1,ACY1,TJP3,COL12A1
526,MECP2,LGALS3,DAPL1,CTTNBP2,BRIX1,ITGB2,RBP4,MAP6,BCAT2,DNAJA1,MCCC1,TAPBP,CAPN2,CGAS,HTRA3,GATD3B,PRDX6,SRR,ITGAX,AFM,CAPN2,HRG,KLK11,BAG1,MED8,ITGAX,CIR1,SEMA3F,EIF4G2,SUPT6H,REL,GALNT2,TMSB10,RBMX,SMG8,CHPF2,REL,CYBRD1,HLA-C,SH3GLB2,TCOF1,BAG1,CRYZ,FCER1G,YTHDF3,LAMB3,DLG3,NUP155,PALMD,LRP8,HPGD,ABLIM3,TYROBP,TBL3,LMNA,ASPN,CRBN,PTER,APOM,NUP88,ANLN,ZADH2,ZNF281,MNDA,MYLK,SNX21,ARHGEF10L,GPLD1,DNASE2,GBP6,SHBG,UQCRC1,UQCRC2,REV3L,UQCRC1,AOC3,GTSE1,ACAA1,YTHDF1,MECP2,FAN1,FCER1G,NMT1,TYROBP,WDHD1,CBR4,TRIOBP,ZFYVE21,APOL2,ASCC3,NCAPD2,HELZ2,SRPX,HRG,DAG1,GSN,NEFH,APBA1,GRHPR,GNB2
527,PPP1R10,HSDL2,UTP6,ZHX3,SNTB2,AHSA1,GNB1,TSR1,DNASE2,PHLDB2,ACY1,EVPL,ATP5F1C,PURA,DDAH1,ACADSB,CPN1,TXN2,ACOX3,FN3K,SUPT6H,PPAN-P2RY11,FAN1,SEMA3F,ATP5PO,EVPL,HSPA1A,PARP9,MICAL1,TNC,MED8,PLIN1,ALDH1L1,CD276,FN3K,PITX1,VAV2,NMI,TNS4,ALDH5A1,CFHR2,SLIT3,CAPN7,DMTN,CYP2C18,FUT3,CYBB,BUD31,WDR13,GIPC2,KRT17,CYBRD1,GGT6,ERH,TSR1,SLC39A14,PITX1,PHLDB2,ECHDC3,MYO5A,TMLHE,CHN1,ATRN,PAIP2B,SAA2-SAA4,INTS8,RTKN,TOLLIP,KLK13,CCDC158,HMGCS2,PPP1R7,NUP155,MMRN1,SHBG,HSDL2,C2orf76,GTF2E2,XRN2,ASAP1,PFN1,CENPE,DDX18,SCRN2,VAV2,PDHB,PCDH1,AASS,APOA4,GREM2,CAPN2,TBC1D17,SLIT3,ALDH1A2,KYNU,TRMT1,TYROBP,C4B,PARP14,RTKN
528,DHX36,ACTA2,TOLLIP,PLIN1,ZNF281,RNF144A,ALDH1L1,AFM,HGFAC,RBP4,HECW2,PRRC2A,NFIC,NOP9,SEC23A,TAPBP,ATP5F1C,NFKB2,ATP5F1C,CRYM,WDR12,MAP6,SOD1,CRLF1,ATRN,IGF2BP2,RAB32,XAF1,PDCD4,LRRC17,NUBPL,BOP1,SNCA,PPP1R10,CA13,CAPN7,HGFAC,DAPL1,S100A10,HELZ2,NKRF,KIF11,ABLIM3,TOLLIP,SPATS2L,KHDRBS1,PPA2,PAX9,SOD1,CFH,DNM3,KHDRBS1,TNFRSF12A,CDK9,PLAT,P4HA2,ETFDH,GCDH,PPAN-P2RY11,DBI,CYP2C18,WDR33,APEH,DNAJB11,KRT17,RPS9,FH,SERPINA4,DIP2A,NAXD,KYAT3,PURA,CYP2C18,DAPL1,FOXK1,FAM3B,ZADH2,ORM1,DAPL1,ANXA1,TBC1D30,PHYKPL,ADPGK,RBP4,FOXK1,DBI,SNRPA1,DMTN,OXR1,RFC5,APOA4,PON1,TC2N,TGFB1,EIF4G2,TYROBP,PSTPIP2,TCOF1,PPM1G,AGFG2
529,ABCF2,HELZ2,RAD51B,COL12A1,ITGA7,GNB1,NMI,PLSCR1,PARN,SPRR3,HEBP2,CA1,ACSF2,PLSCR1,TJP1,FAN1,RAD51B,IFI16,TXN2,TNC,NUP88,NIP7,ADIPOQ,TMOD1,HPGD,TNC,GAS7,ATP5PO,MED18,C2orf76,MECP2,ASPN,REL,SIRT3,EFHD1,DBT,SOAT1,SIRT3,NUP62,ETFB,NOTCH2,SPRR3,CCL14,KANK3,ARHGEF10L,MED8,APOA4,RBM34,DNASE2,CENPE,WDR13,PDHB,LHPP,DDX41,VIM,C1orf123,NUP107,APOA4,ATP5F1A,WDR13,LHPP,TPPP3,EIF4G2,TNS4,GGT6,ACADS,LUC7L3,HTRA3,SYTL1,RANBP2,GRHPR,RBMX,OAS2,SLC52A2,NUDCD1,SLC39A14,RASIP1,APOA1,RBM34,B3GNT3,CYB5A,SERPINA4,OAS2,MOB1B,MARK3,WARS2,UQCRC1,NUFIP2,ETFB,MCEE,EPHX1,C2,HSP90AB1,ESF1,ICAM1,STXBP3,LRP8,PPP1R7,SHBG,POLR2H
530,DCLK1,SYTL1,KRT17,APOA1,ADGRG6,PLAC9,TCOF1,NOL11,NKRF,VASN,LAMB3,DTX3L,LMNA,OXR1,HELZ2,RGL2,SLC39A14,PSTPIP2,ECM1,TM7SF2,CYB5A,OXR1,GAS7,ME3,NUDCD1,HLA-C,ORM1,TPRG1,AOC3,SNTB2,TMEM185B,VAV2,ATP5F1C,PI16,EIF4G2,NCAPH,SH3GLB2,AOC3,CYSRT1,CRBN,HPGD,TJP3,SRPX,PHLDB2,MPC1,NAXD,XAF1,NUP205,ALDH1A2,PSTPIP2,BYSL,C1orf123,PI16,CBR4,GLOD4,F2,USP39,HSDL2,SNRNP70,APOA1,LRP8,SNCA,TYROBP,WDR13,HSPA1A,CDK9,CTHRC1,MICAL1,CRYZL1,SPRR3,SNRNP70,HPGD,RBMX,PITX1,LIPE,UQCRC1,ITGB2,F2,BOP1,NMI,ALDH1A2,PML,SNTB2,THBS2,PCYT2,CCDC158,PRPF3,ARHGEF10L,CRYBG3,TYROBP,LOXL2,ZFYVE21,VAV2,RTKN,SOD1,FCER1G,ACSL4,WDR12,ADAMTS7,ISOC1
531,PURA,SPARCL1,PLOD2,ANXA1,MOCS2,KIF1C,THY1,CYP2C18,FUBP1,FAM98C,APBA1,KIAA0930,MCEE,PLIN1,ZHX3,NFIC,OAS2,GTSE1,NIP7,DBI,TAPBP,ETFB,NOTCH2,ANXA1,RTKN,EPM2AIP1,NCAPD2,PARD3B,SRSF3,NAXD,PLSCR1,SUPT6H,ERH,CFHR2,VASN,SCEL,LDHD,VAV2,DHX36,SNCA,OXR1,CNOT9,TJP1,ACY1,P4HA2,MORC2,CRYZL1,COX5A,MYH11,RNH1,FCER1G,ORM1,RTKN,RBP4,EHD3,BAZ1A,NKRF,CAPN7,NOC2L,NCAPH,NFIC,POLR2H,AAK1,TRMT1,HPGD,TOLLIP,NUBPL,IFIH1,TJP1,CTTNBP2,MAGI3,PNO1,RBM34,ESF1,PARD3B,CYB5A,UQCRC1,EVPL,HLA-C,TRMT1,TNC,RBP4,PURA,IL1RN,AAK1,NRBF2,HP,ADGRL2,MYH11,KIAA0930,APOA1,TRMT1,HSDL2,MICAL2,CPSF4,FUBP1,F2,ASPN,MECP2,SCRN2
532,C2orf76,PDE12,ACSF2,NAXD,VIM,DHX36,SNCA,TPSAB1,DNAJB11,ATP5F1A,REV3L,EIF4G2,EPS8,ADGRF1,TTC9,CYB5A,COX5B,AHSA1,P3H4,F2,HMGN5,WDR13,ITGA3,PDE12,USP39,STXBP3,KIF11,APP,MICAL2,HSDL2,NSA2,MAP6,PNO1,LIPE,HSDL2,TTC9,BRIX1,APBA1,ATP5F1C,SLC38A5,LRP8,PCDH1,A2M,GOLGA4,SLC16A7,CAST,SRSF3,ESF1,C1orf123,NFIC,NEMP1,VIM,DNASE2,PARD3B,TYMP,DBT,LUC7L3,NAXD,YTHDF1,RBM12B,OGFR,ETFB,MOCS1,BAX,KIT,SLC39A14,GLIPR1,ETFDH,IRF9,REL,PPP1R10,VAT1,NEFH,TJP3,PHYKPL,PURA,TGM3,LGI4,PARN,NOP58,MORC2,CDH5,ACADVL,CKS1B,SLURP1,PARD3B,VASN,HABP2,TGM3,CCL14,COL12A1,CRBN,FAM3B,BMP1,XRN2,SF3A2,OAS2,GATD3B,DIS3,NSA2
