,LogR,RF,MLP,SVC
0,1.0,0.9922480620155039,1.0,1.0
1,1.0,0.9922480620155039,1.0,0.9922480620155039
2,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.9922480620155039
3,0.9922480620155039,0.9922480620155039,1.0,0.9922480620155039
4,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.9922480620155039
5,1.0,0.9922480620155039,1.0,0.9922480620155039
6,1.0,1.0,1.0,1.0
7,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.9922480620155039
8,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.9922480620155039
9,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.9922480620155039
10,1.0,1.0,1.0,1.0
11,0.9922480620155039,0.9922480620155039,1.0,0.9922480620155039
12,1.0,1.0,1.0,1.0
13,1.0,0.9922480620155039,1.0,1.0
14,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.9922480620155039
15,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.9922480620155039
16,1.0,0.9922480620155039,1.0,0.9922480620155039
17,0.9922480620155039,0.9922480620155039,1.0,0.9922480620155039
18,0.9922480620155039,0.9922480620155039,1.0,0.9922480620155039
19,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.9922480620155039
20,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.9922480620155039
21,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.9922480620155039
22,1.0,1.0,1.0,1.0
23,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.9922480620155039
24,0.9922480620155039,0.9922480620155039,1.0,0.9922480620155039
25,1.0,1.0,1.0,1.0
26,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.9922480620155039
27,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.9922480620155039
28,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.9922480620155039
29,0.9922480620155039,0.9922480620155039,0.9922480620155039,1.0
30,1.0,1.0,1.0,1.0
31,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.9922480620155039
32,0.9922480620155039,0.9922480620155039,0.9922480620155039,1.0
33,0.9922480620155039,0.9922480620155039,0.9922480620155039,1.0
34,0.9922480620155039,0.9922480620155039,0.9922480620155039,1.0
35,1.0,1.0,1.0,1.0
36,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.9922480620155039
37,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.9922480620155039
38,0.9922480620155039,0.9922480620155039,1.0,0.9922480620155039
39,1.0,1.0,1.0,1.0
40,1.0,1.0,1.0,1.0
41,1.0,1.0,1.0,1.0
42,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.9922480620155039
43,1.0,1.0,1.0,1.0
44,1.0,0.9922480620155039,0.9922480620155039,1.0
45,1.0,1.0,1.0,1.0
46,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.9922480620155039
47,0.9922480620155039,0.9922480620155039,0.9922480620155039,1.0
48,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.9922480620155039
49,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.9922480620155039
50,1.0,1.0,1.0,1.0
51,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.9922480620155039
52,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.9922480620155039
53,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.9922480620155039
54,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.9922480620155039
55,1.0,0.9922480620155039,1.0,1.0
56,1.0,1.0,1.0,1.0
57,1.0,0.9922480620155039,1.0,1.0
58,1.0,1.0,1.0,1.0
59,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.9922480620155039
60,0.9922480620155039,0.9922480620155039,1.0,0.9922480620155039
61,0.9922480620155039,0.9922480620155039,1.0,1.0
62,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.9922480620155039
63,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.9922480620155039
64,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.9922480620155039
65,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.9922480620155039
66,1.0,0.9922480620155039,1.0,1.0
67,1.0,1.0,1.0,1.0
68,1.0,0.9922480620155039,1.0,1.0
69,1.0,0.9922480620155039,1.0,1.0
70,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.9922480620155039
71,1.0,1.0,1.0,1.0
72,0.9922480620155039,0.9922480620155039,0.9922480620155039,1.0
73,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.9922480620155039
74,0.9922480620155039,0.9922480620155039,0.9844961240310077,0.9922480620155039
75,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.9922480620155039
76,0.9922480620155039,0.9922480620155039,1.0,0.9922480620155039
77,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.9922480620155039
78,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.9922480620155039
79,1.0,0.9922480620155039,1.0,1.0
80,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.9922480620155039
81,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.9922480620155039
82,0.9844961240310077,0.9922480620155039,0.9844961240310077,0.9922480620155039
83,1.0,1.0,1.0,1.0
84,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.9922480620155039
85,0.9922480620155039,0.9922480620155039,0.9922480620155039,1.0
86,1.0,0.9922480620155039,1.0,1.0
87,1.0,1.0,1.0,1.0
88,0.9922480620155039,0.9922480620155039,1.0,0.9922480620155039
89,1.0,0.9922480620155039,1.0,1.0
