,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
30,MYRIP,PEBP1,LOC105373266,MMP11,TMEM132C,SUOX,PLA2G7,PLAC9,TPX2,KIF4A,ADAMTS9-AS2,ETFDH,MMP12,MMP12,MYRIP,USB1,SCN7A,ETFDH,CFD,GGTA1P,GPRIN1,MMP12,ASPA,CEP55,PKHD1L1,FAXDC2,IL11,ATIC,SECISBP2L,GREM2,VIT,PKHD1L1,TMEM132C,GPRIN1,GSTM5,CLSPN,GPD1L,MMP12,LOC107984568,SPOCD1,MINDY1,USB1,MYRIP,SCN7A,ETFDH,PKHD1L1,GPRIN1,GREM2,TPX2,ADAMTS9-AS2,FAM149A,PKHD1L1,GPRIN1,ETFDH,PLAU,STX1A,PTK7,FAM189A2,INHBA,PLP1,PLA2G7,GREM2,NOSTRIN,CCL14,KIF26B,MYRIP,MMP1,FAM107A,ACACB,MMP12,VIT,KIF26B,ADAMTS9-AS2,ANKRD20A5P,TNXB,RERGL,ADAR,CFD,TMEM132C,LOC105378909,PLAC9,CEP55,GPD1L,ADH1B,MIR29B2CHG,GPD1L,LOC105373266,NOSTRIN,COLGALT1,RERGL,TPX2,VIT,TPX2,RFC4,MYRIP,UBL3,GSTM5,LOC105373266,ADH1B,CEP55
31,NOSTRIN,RERGL,ADAMTS9-AS2,FAM149A,NOSTRIN,SCARA5,SERPINH1,R3HDM1,RFC4,ADAR,SCN7A,SCN7A,GPRIN1,NDNF,GPD1L,NOSTRIN,ADAMTS9-AS2,AR,IL11,PLA2G7,LOC105373266,SH3BGRL2,FAM189A2,CLSPN,MORC2,LOC105373266,TMEM132C,ECT2,PLP1,C1QTNF7,GPRIN1,VIT,RERGL,ADAR,TMEM252,MYO1B,SHCBP1,FAXDC2,TMEM132C,MFAP2,FAXDC2,FAXDC2,GREM2,ETFDH,ADAR,EZH1,CDC6,R3HDM1,CBX3,SCN7A,MORC2,FAIM2,MGLL,PTK7,GRIK3,PKHD1L1,MMP1,LRRN4CL,GPRIN1,PLCXD3,FAM149A,PEBP1,CBX3,RERGL,GREM2,MMP12,LOC105369212,SORT1,MYOC,PEBP1,FAM107A,INHBA,GPRIN1,LOXL2,MMP12,MGLL,VIT,INHBA,CNTFR,VIT,SORT1,MMP11,LAMC2,HLF,CLSPN,FGF10,PLAU,GGTA1P,FGF10,MYRIP,KIF14,MMRN1,ADAMTS9-AS2,PLAU,CCL14,SORT1,PLAU,MIR29B2CHG,FGF10,TMEM132C
32,CEP55,RPL32,PTK7,LAMC2,GSTM5,RMND5B,PEBP1,FOXM1,KIF4A,PLP1,MYO1B,MMP12,IL11,PLP1,NTRK3,IL11,EMC3,PGM5P4,GRIK3,MMP12,IL11,GGTA1P,STX1A,CBX3,IGF2BP2,CLSPN,KRT13,TNXB,CD276,GPD1L,FAXDC2,FAIM2,LAMC2,SECISBP2L,MORC2,LOC105373266,CCL14,ADAMTS9-AS2,ADAR,TPX2,VIT,TGFBR3,CLSPN,PKHD1L1,LOC105373265,PLAC9,GGTA1P,KIF26B,PTK7,LOC107986430,LAMC2,FAXDC2,GSTM5,PLAC9,CFD,LAMC2,LOC105373266,NOSTRIN,PLAC9,CBX3,LOC107986430,CLSPN,KIF2C,INHBA,MMP12,CCL14,CCDC12,PTK7,GSTM5,CBX3,ETFDH,SCN7A,CEP55,MMP11,NOP53,KPNA2,GREM2,CLSPN,RRAGD,TMEM132C,HLF,MINDY1,KIF26B,LGI1,CEP55,FAXDC2,STX1A,MYBL2,CLSPN,MPC1,TMEM132C,MMP12,LOC105373266,MYRIP,SH3BGRL2,MYOC,CFD,PGM5-AS1,PTK7,ADAM12
33,LOC105373265,STX1A,CEP55,PTK7,LAMC2,ADAR,MMP12,STX1A,SECISBP2L,TPX2,LOC105373266,LOC105373265,MYO1B,KIF26B,HLF,CEP55,ADAM12,VIT,TMEM132C,PLAU,CBX3,AR,SH3BGRL2,LGI1,ACACB,MYRIP,CCL14,OTC,MORC2,NRG2,HLF,GGTA1P,PKHD1L1,DLG2,ADH1B,GSN,MMP12,MYOC,PLP1,CTHRC1,PLA2G7,LAMC2,FAXDC2,GGTA1P,TNXB,MYO10,MMP1,ABCA10,MMP12,CFD,USB1,PEBP1,TMEM252,SCN7A,FAM107A,PEBP1,MFAP2,FAIM2,RFC4,AR,CEP55,WDR54,KPNA2,MIR29B2CHG,ADH1B,GPRIN1,CFD,CEP55,TMEM132C,CLSPN,TNXB,FOXM1,C1QTNF6,PEBP1,PEBP1,LOC105373265,CEP55,LAMC2,ADAR,MMP12,MMP12,CCL14,CBX3,FAM107A,VIT,GSTM5,ACADVL,EZH1,LAMC2,INHBA,HLF,SCN7A,LGI1,MMP12,PTK7,CFD,PGM5P4,SCN7A,FAM107A,MMP1
34,CLSPN,GPRIN1,CCL14,ADAMTS9-AS2,PAIP2B,MYZAP,FAM107A,PKHD1L1,RAD51AP1,PKHD1L1,GSN,FAXDC2,TGFBR3,C1QTNF6,ADH1B,VIT,LOC105373266,PLA2G7,RERGL,CCL14,DTL,MINDY1,INHBA,NDRG2,ADAMTS12,VIT,PLAC9,TPX2,LOC105373265,TPX2,GGTA1P,FGF10,ADH1B,FAM189A2,KAT2B,PKHD1L1,FGF10,PKHD1L1,EMC3,ADAM12,USB1,CDC6,MIR29B2CHG,LOC105373266,MYO10,ABCA10,NRG2,PKHD1L1,MYRIP,LAMC2,CFD,MMP11,PEBP1,MINDY1,FAXDC2,SUOX,USB1,FAM149A,ADH1B,LAMC2,WDR54,LOC105373265,RAD51AP1,CFD,LOC105378437,INHBA,LAMC2,PLAU,ETFDH,CEP55,FAIM2,PLCXD3,ADH4,PLAU,MORC2,GPRIN1,NOSTRIN,PLAU,LOC105378437,ETFDH,PLAU,RPL32,RAD21,INHBA,SUOX,TMEM132C,FAM149A,HMGA2,TPX2,LOC105378437,MYRIP,KIF26B,MYRIP,PLP1,STX1A,MPC1,GPRIN1,PTK7,C1QTNF6,RERGL
35,USB1,GSTM5,R3HDM1,RFC4,PLAU,KAT2B,MMP11,LOC105378909,ADAMTS9-AS2,PEBP1,LOC105373265,PLAC9,RERGL,MINDY1,ADAMTS12,GREM2,MMP12,CCL14,MMP12,MMP11,LOC105378909,GREM2,CEP55,CDC6,USB1,PTK7,MFAP2,KIF14,GPRIN1,LOC102724122,CCL14,ALDH9A1,GPD1L,LOC107986430,IL11,CCL14,FOXM1,CDC6,CLSPN,ATP13A3,LOC105378437,ADAMTS9-AS2,C1QTNF6,KIF2C,KRT13,NRG2,RAD51AP1,MMRN1,CEP55,MMP1,DCBLD1,KIF26B,HLF,GGTA1P,RSPO1,KIF14,MYRIP,RERGL,KAT2B,MYRIP,ADAM12,LOC105378909,SEMA3G,GREM2,GPRIN1,SPOCD1,LOC100129940,ADH1B,FAIM2,INHBA,HLF,TRIP13,USB1,HSD17B4,LOC105373265,PLAU,CCL14,NOSTRIN,QARS,KAT2B,PLP1,PAIP2B,TGFBR3,CNTFR,FAM149A,CEP55,PLA2G7,IL11,RERGL,SH3BGRL2,MYBL2,ADH1B,RERGL,TMEM132C,RERGL,PKHD1L1,NTRK3,CBX3,KPNA2,LAMC2
36,GSTM5,TMEM132C,FAIM2,FGF10,ADH1B,MYOC,ADAMTS12,CTTNBP2,NTRK3,LOC105373266,NRG2,CLSPN,PLA2G7,GSTM5,SORCS1,CCL14,LOC105378909,SH3BGRL2,FAXDC2,PEBP1,CEP55,MYRIP,GSTM5,TMEM132C,HLF,SCN7A,LOXL2,KPNA2,PLEKHA6,ADH1B,OTC,PLA2G7,DTL,TPX2,PLP1,ADAM12,RSPO1,FOXM1,NOSTRIN,CDC6,MAMDC2,ETFDH,NOSTRIN,MPC1,OTC,INHBA,C1QTNF6,TMEM252,STX1A,QARS,SCN7A,FAM107A,GREM2,PEBP1,MIR29B2CHG,CCL14,PLA2G7,KIF2C,ETFDH,SCN7A,EMC3,CBX3,PRIM2,IL11,KAT2B,LAMC2,BMX,TGFBR3,LOC107987259,VIT,MMP12,KAT2B,ABCA10,ASPA,MYO10,MMP11,R3HDM1,GGTA1P,MIR29B2CHG,ADAMTS9-AS2,PEBP1,PKHD1L1,INHBA,LAMC2,SCN7A,PGM5-AS1,MINDY1,MMP1,VAV2,LOXL2,LOC105373266,TMEM138,CCL14,KIF26B,FAM219B,ACACB,MMP11,KPNA2,VIT,INHBA
37,YEATS2,SCN7A,MFAP2,GREM2,CBX3,MYRIP,PTK7,MINDY1,FOXM1,MAGI1,SELENBP1,PKHD1L1,LOC100129940,SECISBP2L,MYO10,MYRIP,KRT13,CLSPN,KIF2C,RSPO1,KIF2C,PLP1,ADAR,MYRIP,LOXL2,LAMC2,SPOCD1,LOC105373266,LOXL2,MYOC,LOC105373266,ADH1B,RFC4,KPNA2,CBX3,MORC2,MYOC,C2orf40,HOXC8,EMC3,MMP12,MMP12,TGFBR3,TUBB3,NOSTRIN,LOC105378437,FOXM1,STX1A,FAM189A2,CEP55,PKHD1L1,MPC1,MORC2,FAM149A,PLCXD3,INHBA,FAM149A,PGM5P4,FAM107A,SPOCD1,PTK7,TMEM132C,KIF14,MORC2,SPOCD1,KIF4A,CEP55,STX1A,PTK7,FAM149A,LOC105373266,TMEM132C,FAM149A,KRT13,PAIP2B,INHBA,CLSPN,SPOCD1,R3HDM1,ZNF281,CCL14,FAM3D,PKHD1L1,GGTA1P,ADAR,MMP12,LOC105378909,NXPH3,KIF4A,SCN7A,EIF2AK2,STX1A,KIF26B,RAD51AP1,SPINDOC,LOC105378909,ADAM12,ADAMTS9-AS2,KIF26B,RSPO1
38,WDR54,ADAM12,MMP1,MMP12,MYRIP,SECISBP2L,EZH1,CEP55,CLSPN,ADH1B,FAXDC2,EIF2AK2,HLF,GPRIN1,ADAM12,GPRIN1,GPRIN1,ADH1B,KIF26B,KIF14,RERGL,CTHRC1,MORC2,SELENBP1,MYRIP,NOSTRIN,ADAMTS12,FAM149A,FAM107A,GPRIN1,FAM189A2,ADAM12,GSTM5,MIR29B2CHG,PTK7,FAM107A,FAM149A,RERGL,CFD,RMND5B,WDR54,UHRF1,USB1,TMEM100,FGF10,MMP12,MYRIP,OTC,ABCA10,CCL14,SPOCD1,MMP1,MINDY1,NOSTRIN,TMEM132C,TPX2,PGM5,STX1A,SUOX,GPD1L,GGTA1P,ADAMTS9-AS2,ECT2,GSTM5,CFD,RAD51AP1,INHBA,PLA2G7,STX1A,GPRIN1,CFD,HMGA2,CCL14,LINC01614,CGNL1,CDCA5,ATIC,LRRN4CL,KIF4A,GPRIN1,PLA2G7,STX1A,CYP4F29P,GREM2,LOC105373266,DTL,PKHD1L1,CCL14,TMEM132C,VIT,C1QTNF6,R3HDM1,PKHD1L1,CDCA5,PEBP1,RRAGD,MFAP2,YEATS2,CLSPN,TRIP13
39,ETFDH,SECISBP2L,LAMC2,PLAU,INHBA,MIR29B2CHG,MTHFD1L,PEBP1,FGF10,SUOX,KIF26B,SPOCD1,SRSF5,CEP55,PLAC9,FGF10,C1QTNF7,LNX1-AS2,TPX2,INHBA,TMEM132C,SCARA5,LAMC2,C1QTNF7,VAV2,GREM2,PLP1,RNASE4,RERGL,PGM5P4,ZDHHC15,CFD,NCAPH,PEBP1,CLSPN,TMEM132C,IL11,EMC3,FAIM2,PLAU,PLAC9,TRIP13,LOC105373266,ADAM12,SOX11,PLAU,TPX2,RRAGD,GREM2,ACADVL,MIR29B2CHG,PLP1,LOC105373265,PLA2G7,KIF26B,RFC4,IL11,SH3BGRL2,USB1,FAM149A,LOC100129940,DLEU7,TMEM132C,LOC105373266,IL11,RERGL,MMP12,MMP1,NOSTRIN,METTL7A,ADAMTS9-AS2,ADAM12,LOXL2,LOC105378909,GSTM5,TPX2,HMGA2,ADAM12,FAIM2,ATP13A3,FAM149A,MYRIP,TMEM132C,LOC105373266,MMP11,LOC107985664,LAMC2,GREM2,CCL14,CFD,LOC105378909,LOC105378909,MIR29B2CHG,FGF10,GREM2,SH3BGRL2,LOC105373265,SPOCD1,MMRN1,ADAMTS9-AS2
40,MMP12,LOXL2,IL11,INHBA,BMX,NOSTRIN,NRG2,TNXB,GPRIN1,ADAMTS9-AS2,PLAU,CD276,GREM2,MORC2,IL11RA,PLAU,MORC2,CBX3,PLCXD3,TPX2,FOXM1,SCN7A,PKHD1L1,DTL,VIT,KAT2B,MMP11,NOSTRIN,SELENBP1,GSTM5,CFD,SPINDOC,GPRIN1,RERGL,SCN7A,KIF26B,LRRN4CL,KRT13,OTC,SLC27A6,SORT1,LOC105378909,RRAGD,MFAP2,USB1,IL11,TMEM132C,FAM189A2,NDNF,RERGL,GPRIN1,SCN7A,AR,SPOCD1,MMP1,ATP13A3,TGFBR3,PAIP2B,MFAP2,KIF26B,TMEM132C,CEP55,SCN7A,STX1A,LOC107986430,MFAP2,FAM149A,FAIM2,SPOCD1,MYRIP,C1QTNF7,MINDY1,ADAM12,PLAC9,PLP1,LOC105373266,MYO10,GPRIN1,SPOCD1,MORC2,LAMC2,SORT1,MINDY1,MIR29B2CHG,SH3BGRL2,PTK7,ATP13A3,MMP11,HLF,MMP12,RFC4,MORC2,ASPA,KIF14,FOXM1,LOC105373265,MMP1,ATP13A3,TMEM132C,RFC4
41,SCN7A,CEP55,MYO10,GGTA1P,STX1A,MORC2,IKBIP,FAXDC2,LOC105373266,RERGL,USB1,ATP13A3,MIR29B2CHG,VIT,PLCXD3,CLSPN,NTRK3,LOC105379051,GPRIN1,IL11,KIF14,CFD,GPRIN1,MMP1,C1QTNF6,FOXM1,TPX2,STX1A,PEBP1,CBX3,CLSPN,FAXDC2,GREM2,MYRIP,FGF10,CFD,FAIM2,GSTM5,SRSF5,TMEM132C,SECISBP2L,YEATS2,LOC107986430,AR,MMP12,ADAMTS9-AS2,CBX3,CLSPN,TMEM132C,ATP13A3,HLF,CEP55,MFAP2,QARS,ADAR,ADAR,CCL14,CEP55,KIF26B,FAIM2,MINDY1,PTK7,STX1A,MMP1,TNXB,STX1A,SECISBP2L,PLP1,GPRIN1,NDE1,FAM149A,KIF2C,CFD,GPRIN1,MYRIP,LAMC2,ADAMTS9-AS2,ADAMTS12,C1QTNF6,ADAR,GGTA1P,LOC105373265,ATP6V0A4,DCBLD1,MMP12,FAM149A,FAIM2,SORCS1,PLP1,KRT13,SPOCD1,AR,MMP12,PEBP1,LOC105373265,MORC2,IL17RC,TRIP13,OTC,TNXB
