,0
T_NUP62,1
T_CD276,1
P_MTURN,1
T_OAT,1
T_EXOC1L,1
T_LINC02538,1
T_DNMT1,1
M_NPFFR1,1
T_C1orf112,1
T_LCAL1,1
T_LOC105377928,1
T_PLIN1,1
T_MYZAP,1
T_CYP4F12,1
T_PGM5,1
M_TAC1,1
PP_ZBTB7B,1
T_CTTNBP2,1
T_GRIK3,1
T_MYBL2,1
T_SPOCD1,1
T_FLNA,1
T_IL11,1
P_TUB,1
P_MMRN2,1
P_C1RL,1
T_HSD17B4,1
T_F10,1
M_NKAPL,1
T_CLSPN,1
T_COL5A2,1
T_SCN7A,1
P_CPSF1,1
PP_CRNN,1
PP_MYOC,1
P_RNF213,1
T_RSPO1,1
T_TUSC5,1
P_C2orf54,1
P_FAM49B,1
T_PDCD4,1
T_UBL3,1
P_CD34,1
P_SCARA5,1
T_LOC110091776,1
T_TRAM2,1
P_ALDH1L1,1
