,0
T_SECISBP2L,6
T_CTTNBP2,6
P_PHYHD1,6
T_MSANTD3-TMEFF1,6
PP_TPPP,5
P_FNDC3B,5
T_GRIN2D,5
PP_PREX2,5
T_UHRF1,5
T_DNMT3B,5
P_ADD3,5
T_PDCD4,5
P_LIMS2,5
T_ITPR3,5
T_SLC26A6,5
T_LOC107984568,5
P_DIAPH2,5
P_SCARA5,5
T_LAMC2,5
P_WDR43,5
PP_KRT4,5
T_ABCD3,5
T_RBM20,5
P_TNS1,5
P_NOP2,5
T_C14orf180,5
PP_AMPH,5
P_ITIH4,5
M_FAM135B,5
P_OLFML1,5
P_PCCA,5
T_FOXM1,5
P_LUC7L3,5
PP_PRRC2A,5
PP_TP53INP2,5
T_UBL3,5
T_GOLGA4,5
T_METTL7A,5
P_HRG,5
PP_EVA1C,5
T_CBX3,5
T_FAM219B,5
PP_ATP5PO,5
T_PGM5-AS1,5
T_ARHGAP10,5
T_C2orf40,5
P_NFIA,5
T_OTC,4
PP_PURA,4
P_APOB,4
T_FUT6,4
T_HOXC9,4
P_CNRIP1,4
PP_PRKG1,4
P_BCKDHB,4
T_GNA12,4
T_MMP9,4
T_MGLL,4
P_S100B,4
T_IL11,4
P_MYO1C,4
T_GRIK3,4
P_DDAH2,4
T_CHST2,4
T_EIF2AK2,4
T_USO1,4
P_CHD2,4
T_SLC16A6,4
T_TNFAIP8L1,4
P_ATP6V1C1,4
T_COLGALT1,4
T_SLC6A1,4
T_TPX2,4
T_LRRN4CL,4
PP_TNS2,4
T_PGM5,4
T_KIAA0232,4
P_SPINK5,4
PP_NFIX,4
P_NEMP1,4
T_KRT78,4
T_PLIN1,4
T_GSTM5,4
T_ALDH9A1,4
T_GSN,4
P_SMARCA5,4
P_MYO9B,4
T_SLC19A1,4
T_GGT6,4
T_ANKRD20A9P,4
T_LOC107984567,4
T_SPOCD1,4
T_LOC105379051,4
T_DCBLD1,4
T_RORC,4
T_CTHRC1,4
T_LYVE1,4
T_EPB41L4A,4
P_CRNN,4
T_LOC107987259,4
T_PLAUR,4
P_BAZ1A,4
T_SMIM10,4
T_IGF2BP2,3
P_PTN,3
P_MYO1B,3
T_ADAR,3
PP_HACE1,3
T_FSCN1,3
PP_ARHGAP20,3
P_NFIX,3
T_E2F3,3
P_ADIRF,3
T_RELN,3
T_MTFR1L,3
T_MMP10,3
T_TIMP4,3
T_SDS,3
T_AIF1L,3
T_FAM3D,3
P_TPPP,3
T_LOC101929752,3
T_NFIA,3
P_CNN2,3
T_PMEPA1,3
T_LINC02538,3
T_PLPP3,3
PP_SNRPD2,3
T_MYZAP,3
T_FLNA,3
P_COLGALT1,3
T_EMC3,3
P_PRPF8,3
T_COX7C,3
P_C2orf54,3
P_PRPH,3
T_LOC105375469,3
P_ADH1A,3
T_R3HDM1,3
P_ABHD14B,3
T_LINC00551,3
T_TGFB1,3
PP_TTR,3
T_ZNF536,3
T_RIPK2,3
T_BUB1,3
P_ABLIM1,3
T_CCDC12,3
T_BARX2,3
T_EXO1,3
T_COL12A1,3
T_ATP5F1A,3
P_CLEC3B,3
P_PLOD1,3
T_ZNF728,3
P_LMOD1,3
T_SEMA3G,3
P_NT5C,3
T_COL5A2,3
P_EBF1,2
T_DLEU1-AS1,2
T_FAM49B,2
P_SHBG,2
T_TMC7,2
T_RGN,2
T_ADCYAP1R1,2
T_DLEU7,2
T_CHRDL1,2
T_ACPP,2
T_CIDEC,2
P_NUP93,2
T_LINC01614,2
P_NCBP1,2
PP_PEBP1,2
M_RGS22,2
T_FSD1,2
T_PCDH17,2
P_SMCHD1,2
PP_GFRA1,2
T_LINC01839,2
T_SUCLG2,2
T_LOC105376074,2
T_LOC105369212,2
T_BDH2,2
T_AR,2
T_LNX1-AS2,2
T_DNAH17,2
P_ESD,2
T_S100A14,2
T_NDNF,2
P_PRKDC,2
T_SELENBP1,2
T_WDR66,2
T_PCBD2,2
T_LINC00908,2
M_GRM6,2
T_ACACB,2
T_HOXC8,2
T_POSTN,2
T_RNF2,2
T_RAD51AP1,2
PP_PRPH,2
T_CDCA5,2
T_LRWD1,2
P_COL18A1,2
PP_EBF1,2
M_ZNF132,2
T_COL4A2,2
P_PRDX2,2
M_BRDT,2
PP_MAP6,2
P_NEPRO,2
PP_RBSN,2
P_EIF2AK2,2
PP_P3H3,2
T_LOC105377124,2
PP_CRNN,2
T_SPINK5,2
T_EZH1,2
T_CAVIN2,2
P_ALDH1L1,2
T_LOC105378132,2
P_SUOX,2
M_ABCC9,2
T_LOC105376081,2
P_SERPINF2,2
P_CAPN2,2
PP_CBX3,2
P_SF3B1,2
P_XPO5,2
P_DNAJB11,2
P_AMBP,2
T_HSD17B4,2
PP_CHD1,2
PP_EIF4EBP3,2
P_HSD17B8,2
T_KIF14,2
PP_MCF2L,2
T_DTL,2
T_PKMYT1,2
P_RNF213,2
PP_CHRAC1,2
M_LYPD5,2
T_LOC107986603,2
T_MTIF3,1
T_KIF4A,1
T_LOC105374749,1
M_SIM1,1
P_ABI3BP,1
T_PTHLH,1
T_MFSD12,1
M_PAPOLB,1
P_HNRNPA1,1
M_BOLL,1
M_PCDHGB6,1
