,LogR,RF,MLP,SVC
0,0.9903846153846154,0.9807692307692307,0.9711538461538461,0.9903846153846154
1,0.9711538461538461,0.9807692307692307,0.9807692307692307,0.8557692307692307
2,0.9423076923076923,0.9711538461538461,0.9134615384615384,0.7788461538461539
3,0.9326923076923077,0.9326923076923077,0.9230769230769231,0.875
4,0.9519230769230769,0.9615384615384616,0.9903846153846154,0.8461538461538461
5,0.9230769230769231,0.9423076923076923,0.9134615384615384,0.7884615384615384
6,0.9134615384615384,0.9519230769230769,0.9326923076923077,0.7692307692307693
7,0.9807692307692307,0.9807692307692307,0.9711538461538461,0.8269230769230769
8,0.9711538461538461,0.9807692307692307,0.9711538461538461,0.8173076923076923
9,0.9423076923076923,0.9615384615384616,0.9326923076923077,0.7692307692307693
10,0.9326923076923077,0.9326923076923077,0.9519230769230769,0.7692307692307693
11,0.9423076923076923,0.9615384615384616,0.9807692307692307,0.7980769230769231
12,0.9326923076923077,0.9615384615384616,0.9807692307692307,0.7884615384615384
13,0.8173076923076923,0.8846153846153846,0.8942307692307693,0.7884615384615384
14,0.9038461538461539,0.9230769230769231,0.9230769230769231,0.7884615384615384
15,0.9615384615384616,0.9519230769230769,0.9807692307692307,0.7980769230769231
16,0.9519230769230769,0.9615384615384616,0.9711538461538461,0.8173076923076923
17,0.9230769230769231,0.9423076923076923,0.9134615384615384,0.7980769230769231
18,0.9519230769230769,0.9615384615384616,0.9615384615384616,0.8173076923076923
19,0.9519230769230769,0.9711538461538461,0.9807692307692307,0.9134615384615384
20,0.9423076923076923,0.9807692307692307,0.9519230769230769,0.7884615384615384
21,0.9711538461538461,0.9807692307692307,0.9903846153846154,0.9423076923076923
22,0.9423076923076923,0.9711538461538461,0.9230769230769231,0.8653846153846154
23,0.9519230769230769,0.9423076923076923,0.9615384615384616,0.8076923076923077
24,0.8942307692307693,0.9230769230769231,0.8942307692307693,0.7788461538461539
25,0.9423076923076923,0.9423076923076923,0.9519230769230769,0.7692307692307693
26,0.9326923076923077,0.9615384615384616,0.9615384615384616,0.7692307692307693
27,0.9615384615384616,0.9807692307692307,0.9711538461538461,0.7884615384615384
28,0.9519230769230769,0.9519230769230769,0.9807692307692307,0.8653846153846154
29,0.8846153846153846,0.9134615384615384,0.9038461538461539,0.8076923076923077
30,0.9134615384615384,0.9615384615384616,0.9615384615384616,0.8461538461538461
31,0.9711538461538461,0.9807692307692307,0.9615384615384616,0.8173076923076923
32,0.9615384615384616,0.9807692307692307,0.9711538461538461,0.7692307692307693
33,0.9326923076923077,0.9230769230769231,0.9711538461538461,0.7884615384615384
34,0.9711538461538461,0.9711538461538461,0.9615384615384616,0.8365384615384616
35,0.9615384615384616,0.9711538461538461,0.9711538461538461,0.9134615384615384
36,0.8846153846153846,0.9326923076923077,0.8942307692307693,0.7692307692307693
37,0.9038461538461539,0.9615384615384616,0.9807692307692307,0.8269230769230769
38,0.9615384615384616,0.9519230769230769,0.9711538461538461,0.7884615384615384
39,0.8846153846153846,0.9326923076923077,0.9134615384615384,0.7980769230769231
40,0.9423076923076923,0.9711538461538461,0.9711538461538461,0.7692307692307693
41,0.9230769230769231,0.9903846153846154,0.9615384615384616,0.7884615384615384
42,0.9903846153846154,0.9807692307692307,0.9807692307692307,0.8076923076923077
43,0.9615384615384616,0.9711538461538461,0.9711538461538461,0.7980769230769231
44,0.9519230769230769,0.9807692307692307,0.9807692307692307,0.7980769230769231
45,0.9807692307692307,0.9711538461538461,0.9903846153846154,0.9807692307692307
46,0.9711538461538461,0.9711538461538461,0.9615384615384616,0.7788461538461539
47,0.8846153846153846,0.9326923076923077,0.9230769230769231,0.7788461538461539
48,0.9903846153846154,1.0,0.9903846153846154,0.8365384615384616
49,0.9615384615384616,0.9711538461538461,0.9903846153846154,0.8461538461538461
50,0.9807692307692307,0.9711538461538461,0.9519230769230769,0.7884615384615384
51,0.9519230769230769,0.9615384615384616,0.9519230769230769,0.7980769230769231
52,0.9519230769230769,0.9711538461538461,0.9423076923076923,0.7692307692307693
53,0.9711538461538461,0.9711538461538461,1.0,0.8173076923076923
54,0.9615384615384616,0.9711538461538461,0.9326923076923077,0.7884615384615384
55,0.9326923076923077,0.9711538461538461,0.9423076923076923,0.8173076923076923
