,LogR,RF,MLP,SVC
0,0.9826086956521739,0.991304347826087,0.9478260869565217,0.9826086956521739
1,0.9826086956521739,0.9826086956521739,0.9652173913043478,0.9826086956521739
2,0.991304347826087,0.991304347826087,0.9565217391304348,0.991304347826087
3,0.991304347826087,0.991304347826087,0.9652173913043478,0.991304347826087
4,0.991304347826087,0.991304347826087,0.9739130434782609,0.991304347826087
5,0.991304347826087,0.9826086956521739,0.991304347826087,0.991304347826087
6,0.9826086956521739,0.9826086956521739,0.9565217391304348,0.9826086956521739
7,0.9826086956521739,0.991304347826087,0.9565217391304348,0.9826086956521739
8,0.9826086956521739,0.991304347826087,0.9739130434782609,0.9826086956521739
9,0.991304347826087,0.9826086956521739,0.9739130434782609,0.991304347826087
