,LogR,RF,MLP,SVC
0,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.9922480620155039
1,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.9922480620155039
2,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.9922480620155039
3,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.9922480620155039
4,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.9922480620155039
5,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.9922480620155039
6,1.0,1.0,1.0,1.0
7,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.9922480620155039
8,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.9922480620155039
9,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.9922480620155039
