,LogR,RF,MLP,SVC
0,0.9927007299270073,1.0,0.9927007299270073,1.0
1,0.9927007299270073,1.0,0.9927007299270073,1.0
2,1.0,1.0,1.0,1.0
3,0.9927007299270073,1.0,0.9927007299270073,1.0
4,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0
6,0.9927007299270073,1.0,0.9927007299270073,1.0
7,1.0,1.0,0.9927007299270073,1.0
8,0.9927007299270073,1.0,0.9927007299270073,1.0
9,0.9927007299270073,1.0,0.9927007299270073,1.0
