,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
825,KRIT1,MRTO4,USP54,VPS45,A2ML1,PRDX2,PPHLN1,KIAA1143,RELL1,HIST2H3PS2,COL17A1,TTC14,WWC2,RPSA,PPP2R5D,CRKL,DPH7,STXBP1,PLEKHG2,SLC9A3R1,ZNF521,PDS5A,IGFBP5,SSH3,CENPF,KIFC1,UBE2E1,NOP53,ZNF7,USP39,BUB1,ZSCAN18,ZC3H13,DENND2A,RPS6KB1,TRO,SHCBP1,CAMSAP2,TAP1,UBA7,NAA38,APOA1,KIF23,ALDH16A1,KIF23,HMGA2,PIEZO1,ZNF414,TPX2,LRRC8A,OCLN,NR2C2,ILF2,CEBPB,CCDC9B,SEPT2,NCBP2,KIF4A,RLIM,PDS5A,PDHA1,MECP2,EIF4B,RASSF5,VTN,BTN2A1,PSIP1,CKMT1A,ZBTB38,NSUN5,OSBP2,FBXL4,MOB1B,S100A14,ASXL1,PDHA1,LNP1,CCM2,MORF4L2,CYBRD1,MCM3,ABCC1,RLIM,HELZ2,ZNF638,SUSD5,CDCA8,USP33,SMAD4,UBE2E1,PRR5L,RSRC2,TPT1,RBM22,CD163,CDK14,A2ML1,ARL2BP,HIST2H3PS2,CLDN23
826,HSP90AB1,HMGA2,RPAP3,TRA2A,SLC20A1,WDHD1,NAA10,DTX3L,SCARA5,PRKD1,PDHA1,KCNK1,DHX16,UBAP2L,TKT,RBBP6,PWP1,PEA15,PIEZO1,HCK,PRR5L,CEP76,CCDC86,FIP1L1,USP6NL,SHANK3,C12orf4,ABCC4,PFKP,GTF2E2,TRO,CDK18,TMEM63B,GPRC5B,ELP2,PDS5A,ZCCHC2,SPP2,FUNDC2,NOP53,BEND3,EIF3H,INTS1,RBM4,ITPRID2,TBC1D23,ADCY3,TPPP3,ASXL1,PATL1,FAM171A1,FCER1G,MYO1G,SLC5A3,ARHGAP11A,CYBRD1,HAUS6,EPHA1,SKA2,ANXA5,ZSCAN18,NDRG1,COG4,FLRT2,USP39,F11R,ZCCHC2,CENPF,OGFR,ARHGAP11A,CBX4,C9orf152,TCP11L2,PEAR1,PRDX2,POLE,PLIN5,HIST2H3PS2,FBLN1,GAS7,MCM4,KDM3A,NCF1,KRIT1,POLE,SEPT2,RAP1B,BCLAF1,GRHL3,DIABLO,ILDR1,PLCE1,DNM3,KRT36,CLDN23,RIC8B,CDKL5,STOX2,SYNGR2,MFSD14B
827,BORA,FBLN1,DHX16,PRELP,RUFY3,SYNM,ANKRD17,PIK3R5,GAPDH,FUNDC2,SPTBN2,SUB1,ID4,EIF3L,ALDH4A1,HMGN5,ITIH1,SNW1,TMEM184B,TMX1,BICC1,RBMX2,HMCN2,CRYBG3,RAVER2,TOP2B,RSRC2,HDGFL3,ID4,PHYHD1,INCENP,BASP1,TMX1,PLIN5,LENG8,ZNHIT2,IFIT1,RAP1GDS1,PTPN1,OCLN,LRMDA,TTC33,CIR1,ARID5A,ATG4C,SEPT7,ILF2,EEF1AKMT1,SF3B3,SLC7A11,CRKL,SNRPC,ABL2,ZNF638,TLN2,PALM,SYTL1,PRPF4,EPSTI1,ZNF395,SYNPO2,SET,MAP7D1,ANXA5,PATL1,SLC20A1,APOBR,FIP1L1,UBAC1,SP140L,KIAA1522,COX4I1,SP140L,LENG8,SYNPO2,SOX6,ETFA,CCDC86,NCAPD3,AHDC1,PLG,NF1,NBEAL2,MEX3B,TBX1,USP39,ITGB8,KRT6B,RAP1B,AMBRA1,BNC1,SMAD4,ZBTB34,DMXL2,FBLN1,NCF1,MED12,LRMDA,NOL8,PAPOLG
828,LRMDA,PIP4K2B,UBASH3B,ZC3H4,SLC9A3R1,ELFN1,FZR1,CDCA3,PSMB6,TUSC1,HIPK2,PIMREG,TPX2,TLN2,LIMK1,SHROOM4,BEND3,DENND4C,LEO1,RAP1GDS1,DENND2A,SH2B1,TMEM185A,SAPCD2,JPT2,BARX2,MAPK6,PTPRB,DDX51,EPB41L2,CCDC88A,ILF2,RIC8B,STXBP1,NADK,PARP12,RBM4,NUDC,ACACB,OSBPL8,RAB10,PRR14L,PHF23,ZNF638,RPS6KB1,ORC2,NEBL,PALMD,FAM98B,TGFBI,TTPAL,VAV1,AMER1,ITPRID2,CDC25C,EFS,SSH3,LUZP1,DOCK9,NSUN5,BRCA1,API5,ATAD2,EBF3,PYM1,ELK4,PLEKHA5,LRMDA,CYBRD1,CENPV,DMXL2,PSMA1,FAM120A,SMAD1,HINT1,SPTA1,GORASP1,SH2D4A,SNIP1,NEK9,CDC25C,DTL,SRP72,PDE1C,EIF2S3,PHYHD1,HNRNPAB,TCEA1,TOP2A,RBM22,RRP15,PLEK2,PLG,KMT2D,SLCO4A1,SEH1L,GAS2,THADA,GPR157,MBTD1
829,THADA,SYTL1,PIP4K2B,TOPORS,ETFA,FLNB,MELK,JARID2,RPS6KB1,PPP1R3G,MCMBP,JARID2,PLCL1,CPNE1,RIC8B,ARMC9,PTPRB,ABCC1,DNAJB9,E4F1,MKI67,DNM2,ZNF768,ARL2BP,MAST4,LENG8,ZSCAN21,CCDC86,BIN1,CHD8,DNAJC30,MKI67,MOCS2,SP100,NADSYN1,DENND4C,SHANK3,GPRC5B,HNRNPDL,STIM2,CARD8,RBM34,PIP4K2B,PTBP3,SLC15A4,ZNF703,XPR1,PRPF4,NFKBIB,STK3,INA,MBD1,SEPT2,CACYBP,TRMT1,WDR4,PWP1,CDH6,BEND3,RUFY3,TPD52L1,AR,NHLRC2,FAM107B,SSH2,ZBTB6,STK38L,FBLN1,STK38L,MTFR1L,NOTCH2,TOP2A,EEF2,AMBRA1,SIN3B,ERMAP,PCBP2,TSSC4,TLK1,TAF9B,SLC29A3,CEP76,MMP1,KIF14,DNM2,SRPRA,UBAC1,ILDR1,MITF,HIST1H1E,DCP1B,WDR24,POLR2A,SGO2,JARID2,CHD4,XPC,TTC33,ZNF358,SOX5
830,FLAD1,PSMB10,SRP54,SORT1,JRK,USP6NL,KIAA1522,ATP6V1G1,ATG4C,SKA2,CRBN,AES,TANK,HBD,PARD3,RCOR2,PRKX,LEO1,PIK3C3,SCAF8,NMI,DARS,GPRC5B,KIF23,EPHA1,SLC19A3,CDKN1A,TRIT1,SPTBN2,EPS8L2,SPTBN2,HNRNPD,DENND2A,TBKBP1,EEF2,NSL1,SNRPC,UQCRFS1,TOP2B,GAPT,PTPN1,TCEAL5,TEP1,SLC9A7,LRP10,AKIRIN2,PCLAF,SHISA2,LEMD2,NAA38,SHANK3,HDGFL3,PTPRC,TCEAL5,NUF2,ELP2,TKT,TMEM237,MKI67,SBDS,ZFR,COPB2,TGFBI,UFD1,ITGB8,ATRIP,PPP1R15B,SERPINB2,PPP1R3G,MRTO4,UFD1,TRMT5,ERC1,RBM19,PLEKHF2,TP53BP1,ADRM1,NADK,FAM122A,THAP7,POM121,SIN3B,ZNF330,ORC6,UFD1,SUB1,ARHGEF37,TRIT1,FOXJ3,AJUBA,ZNHIT2,HSP90AA1,TOP1,SMAD4,USP33,CACNA1A,GAPT,PDHX,MCM6,UBE2T
831,HSPA9,HEG1,SEC24B,CRYBG3,TCEA1,SBDS,LRRFIP2,PSIP1,CBL,PSMA1,JARID2,NAT10,CC2D1A,PRKRIP1,SPTA1,INTS1,PPHLN1,RABEP2,ETFA,EIF1AD,PRKCH,MPZ,TRA2B,FAM171A1,SYK,UFD1,AKR1C1,C8A,SRP68,ENO3,EBF3,TCEA1,HSP90AA1,KRT5,LARP4,TMEM184B,CAMSAP2,DOCK9,CCDC9,IGFBP5,CROCC,JDP2,REEP5,CFH,SERPINA10,RARG,POLR2A,PRR14L,TRMT1,RBBP6,THOC2,STYX,SPTBN2,NCF1,TOP2A,CRYBG3,ABL2,PRR5L,ARMC9,CPNE3,POLE,VRK1,MAGEL2,CYBRD1,SMC1A,CCM2,SSRP1,LEMD2,TMEM63B,ANO8,HDGFL3,NCAPD2,SREK1,SYTL5,SYTL4,SLC5A3,PRPF40A,RIN2,API5,EPB41L2,SELPLG,RETREG2,PPHLN1,HSP90AB1,PODXL2,LIMA1,CCDC88A,RIC8B,ELK4,CHMP3,KRT5,MYBL2,SPEN,ZNF638,MYO10,MAN2A1,SUSD5,MCL1,PLG,KRT6B
832,PPP4R4,ACTA1,TUT4,PPP1R3E,ITGB2,WDR24,RPS6KA2,ABI3BP,DNMT3A,NUP160,RBMS3,TUSC1,MTFR1L,EPB41L2,TPD52L1,FAM120A,AFF1,MKNK2,ELF4,PRPF38B,HAAO,TMEM44,MKNK2,KRIT1,SUB1,SP100,F5,ZNF704,E4F1,CROCC,PSMA1,ANKRD17,GGA1,POLE,FAM171A1,LARP1B,KRIT1,SLC2A3,IRS1,TSHZ1,RAP1GDS1,JPT2,PID1,TRAF4,SNUPN,TMX1,APOA2,FAM122A,WWC2,MELK,USP39,KIAA1522,MDN1,RETREG2,RAP1B,RUFY3,TRA2A,PPP2R5D,NSRP1,GFPT2,CRYBG3,ZNF638,FLNB,SMAD4,MYOZ1,ELP2,LRMDA,KCNN3,NCAPG,NUF2,SSH2,FCGR2B,TTC33,NCOA1,KDM3A,FLNB,NEK9,TGFBI,PGD,TMEM237,GPATCH4,NCOA1,UBE2T,LSM7,TRA2A,NCBP2,EPS8L2,MCM4,KDM3A,BICC1,CD248,RBBP8,ZNF7,PIK3C3,SLC20A1,LIMK1,MCM3,PRR5L,STX12,PARD3
833,APOA2,TMEM63B,STYX,SHCBP1,PDS5A,PRG4,EXPH5,TCEAL5,SYNPO2,ANKRD28,ATF1,RAP1B,ZNF768,SNW1,LRMDA,RLIM,NOL8,COPB2,NEBL,POLE,ABCC1,WTIP,FZR1,ZBTB34,MAP3K20,TMEM44,PARP8,TRAFD1,SLC9A3R1,ALDOA,AK1,FRYL,GAS2,WWC1,DDX47,CD274,PRKRIP1,TANC2,EPSTI1,SEPT4,PWP1,CASP8AP2,USP39,TUFT1,AJUBA,ATP6V1G1,ASAP1,POLE,SYNPO2,HSPA9,SPATS2L,FNIP1,MCM3,SNIP1,PRKCE,SEPT5,KIAA1522,PCLAF,MOCS2,CRIP1,LNP1,FRYL,SMC1A,SELPLG,CEP63,MAK16,SNIP1,LNP1,RNF19B,RNF19B,COX4I1,CLIC3,SH2D4A,CEP89,COPB2,MAP4K3,C12orf4,ZBTB34,GPRC5B,ENAH,NAT10,PRR5L,SSH3,XRN2,STX17,TSHZ1,TMSB10,PRKRIP1,NADSYN1,CGN,HJURP,PDHA1,WDHD1,RELL1,MISP,API5,AR,HSP90AB1,SYNM,AIDA
834,PUF60,REXO4,RRP36,ATAD2,RNF19B,CACYBP,TAF9B,LENG8,SNIP1,VRK1,NADSYN1,NAA38,PFKFB3,KIFC1,LMO7,PML,DTX3L,DMXL2,DCAF8,CSTB,SNX1,POTEJ,NCBP2,MAOB,CRKL,SH2D4A,SHC3,MYO10,PLEK2,FZR1,LRBA,TRA2A,EPN3,RPUSD1,CRY2,PODN,PSMB6,PTPN1,COBLL1,ANKRD17,SOGA1,DNAJA1,SLC20A1,NPDC1,CSTB,NADK,TPPP3,IWS1,PPP2R5D,EMB,SOX10,FAN1,SUMO1,NCAPG,RNF213,MOB1B,CASK,SRP54,NCBP2,AMBRA1,TSEN34,ESF1,STRA6,HMCN2,CD163L1,MAPK6,INCENP,BICC1,PHGDH,RBBP8,SELPLG,SIN3B,TMEM184B,ANLN,PIK3R5,CYBRD1,EXOSC9,HAUS8,CISD2,EPN3,RILP,RNF213,OGFR,ZNF703,ANO8,MCL1,EIF4B,TACC1,GPRC5B,CEBPB,ME1,NUDT4B,TKT,KLHDC7A,PHF23,PRELP,HSPB1,PTPRC,HSP90AA1,SRSF11
